"message length","encode p = 3","fast encode p = 3","encode p = 5","fast encode p = 5","encode p = 7","fast encode p = 7","encode p = 11","fast encode p = 11","encode p = 13","fast encode p = 13","encode p = 17","fast encode p = 17","encode p = 19","fast encode p = 19","encode p = 29","fast encode p = 29","encode p = 37","fast encode p = 37","encode p = 41","fast encode p = 41","encode p = 73","fast encode p = 73","encode p = 97","fast encode p = 97","encode p = 113","fast encode p = 113","encode p = 193","fast encode p = 193","encode p = 257","fast encode p = 257","encode p = 449","fast encode p = 449","encode p = 577","fast encode p = 577","encode p = 641","fast encode p = 641","encode p = 769","fast encode p = 769","encode p = 1153","fast encode p = 1153"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,15,0,0
2,,,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,0,0,15,0,0
4,,,,,,,,,,,0,0,,,,,,,0,0,0,0,16,0,0,16,0,16,16,0,0,0,0,0,0,0,0,15,0,0
5,,,,,,,,,,,0,16,,,,,,,0,0,0,16,0,0,0,0,0,16,0,16,0,0,0,0,0,15,16,0,0,0
6,,,,,,,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,15,0,15,0,0
7,,,,,,,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,15,0,16,0,0,0,0,0,16,16,0,0,0
8,,,,,,,,,,,0,16,,,,,,,,,,,0,0,0,0,0,16,16,0,0,0,0,0,16,0,0,16,0,15
9,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,15,0,16
10,,,,,,,,,,,0,0,,,,,,,,,,,0,0,0,0,0,16,0,16,0,0,0,0,0,0,16,15,16,0
11,,,,,,,,,,,0,15,,,,,,,,,,,0,0,0,0,0,15,0,16,0,0,0,16,0,15,16,0,0,15
